"","name","location_name","flow_rate","population_served","time","system_setting","sampling_frequency","institution_type","N1","N1_presence","N1_limit","N1_unit","Longitude","Latitude"
"1","UK_SC_Site24_S1","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1613692800000,"sewershed","","",85619,"presence",1316,"gc/L",-4.267204,55.454854
"2","UK_SC_Site24_S2","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1614038400000,"sewershed","","",75691,"presence",1316,"gc/L",-4.267204,55.454854
"3","UK_SC_Site24_S3","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1614556800000,"sewershed","","",42624,"presence",1316,"gc/L",-4.267204,55.454854
"4","UK_SC_Site24_S4","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1615161600000,"sewershed","","",12469,"presence",1316,"gc/L",-4.267204,55.454854
"5","UK_SC_Site24_S5","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1615766400000,"sewershed","","",13536,"presence",1316,"gc/L",-4.267204,55.454854
"6","UK_SC_Site24_S6","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1616371200000,"sewershed","","",30014,"presence",1316,"gc/L",-4.267204,55.454854
"7","UK_SC_Site24_S7","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1617062400000,"sewershed","","",9513,"presence",1316,"gc/L",-4.267204,55.454854
"8","UK_SC_Site24_S8","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1617667200000,"sewershed","","",7509,"presence",1316,"gc/L",-4.267204,55.454854
"9","UK_SC_Site24_S9","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1618185600000,"sewershed","","",2990,"presence",1316,"gc/L",-4.267204,55.454854
"10","UK_SC_Site24_S10","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1.619568e+12,"sewershed","","",658,"presence",1316,"gc/L",-4.267204,55.454854
"11","UK_SC_Site24_S11","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1620345600000,"sewershed","","",658,"presence",1316,"gc/L",-4.267204,55.454854
"12","UK_SC_Site24_S12","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1620604800000,"sewershed","","",1580,"presence",1316,"gc/L",-4.267204,55.454854
"13","UK_SC_Site24_S13","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1621382400000,"sewershed","","",0,"absence",1316,"gc/L",-4.267204,55.454854
"14","UK_SC_Site24_S14","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1621987200000,"sewershed","","",658,"presence",1316,"gc/L",-4.267204,55.454854
"15","UK_SC_Site24_S15","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1.622592e+12,"sewershed","","",43795,"presence",1316,"gc/L",-4.267204,55.454854
"16","UK_SC_Site24_S16","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1623196800000,"sewershed","","",24305,"presence",1316,"gc/L",-4.267204,55.454854
"17","UK_SC_Site24_S17","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1623801600000,"sewershed","","",17045,"presence",1316,"gc/L",-4.267204,55.454854
"18","UK_SC_Site24_S18","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1.62432e+12,"sewershed","","",22342,"presence",1316,"gc/L",-4.267204,55.454854
"19","UK_SC_Site24_S19","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1624924800000,"sewershed","","",145126,"presence",1316,"gc/L",-4.267204,55.454854
"20","UK_SC_Site24_S20","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1625529600000,"sewershed","","",440416,"presence",1316,"gc/L",-4.267204,55.454854
"21","UK_SC_Site24_S21","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1626134400000,"sewershed","","",107928,"presence",1316,"gc/L",-4.267204,55.454854
"22","UK_SC_Site24_S22","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1626739200000,"sewershed","","",75879,"presence",1316,"gc/L",-4.267204,55.454854
"23","UK_SC_Site24_S23","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1627257600000,"sewershed","","",161821,"presence",1316,"gc/L",-4.267204,55.454854
"24","UK_SC_Site24_S24","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1630281600000,"sewershed","","",254939,"presence",1316,"gc/L",-4.267204,55.454854
"25","UK_SC_Site24_S25","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1630886400000,"sewershed","","",143341,"presence",1316,"gc/L",-4.267204,55.454854
"26","UK_SC_Site24_S26","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1.631664e+12,"sewershed","","",446588,"presence",1316,"gc/L",-4.267204,55.454854
"27","UK_SC_Site24_S27","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1632873600000,"sewershed","","",94954,"presence",1316,"gc/L",-4.267204,55.454854
"28","UK_SC_Site24_S28","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1634515200000,"sewershed","","",71331,"presence",1316,"gc/L",-4.267204,55.454854
"29","UK_SC_Site24_S29","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1635292800000,"sewershed","","",200254,"presence",1316,"gc/L",-4.267204,55.454854
"30","UK_SC_Site24_S30","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1636070400000,"sewershed","","",781473,"presence",1316,"gc/L",-4.267204,55.454854
"31","UK_SC_Site24_S31","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1637193600000,"sewershed","","",199297,"presence",1316,"gc/L",-4.267204,55.454854
"32","UK_SC_Site24_S32","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1638230400000,"sewershed","","",42679,"presence",1316,"gc/L",-4.267204,55.454854
"33","UK_SC_Site24_S33","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1638835200000,"sewershed","","",117505,"presence",1316,"gc/L",-4.267204,55.454854
"34","UK_SC_Site24_S34","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1.63944e+12,"sewershed","","",30909,"presence",1316,"gc/L",-4.267204,55.454854
"35","UK_SC_Site24_S35","Cumnock, Ayrshire and Arran, Scotland, GB",NA,13690,1641254400000,"sewershed","","",226703,"presence",1316,"gc/L",-4.267204,55.454854
"36","UK_SC_Site40_S1","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1613606400000,"sewershed","","",21820,"presence",1316,"gc/L",-4.855787,55.752462
"37","UK_SC_Site40_S2","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1614124800000,"sewershed","","",5231,"presence",1316,"gc/L",-4.855787,55.752462
"38","UK_SC_Site40_S3","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1614211200000,"sewershed","","",1732,"presence",1316,"gc/L",-4.855787,55.752462
"39","UK_SC_Site40_S4","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1614729600000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"40","UK_SC_Site40_S5","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.614816e+12,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"41","UK_SC_Site40_S6","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.615248e+12,"sewershed","","",6807,"presence",1316,"gc/L",-4.855787,55.752462
"42","UK_SC_Site40_S7","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1615334400000,"sewershed","","",7457,"presence",1316,"gc/L",-4.855787,55.752462
"43","UK_SC_Site40_S8","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1615852800000,"sewershed","","",1807,"presence",1316,"gc/L",-4.855787,55.752462
"44","UK_SC_Site40_S9","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1615939200000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"45","UK_SC_Site40_S10","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1616630400000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"46","UK_SC_Site40_S11","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1616716800000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"47","UK_SC_Site40_S12","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1617148800000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"48","UK_SC_Site40_S13","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1617235200000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"49","UK_SC_Site40_S14","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1617926400000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"50","UK_SC_Site40_S15","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1618358400000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"51","UK_SC_Site40_S16","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1618444800000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"52","UK_SC_Site40_S17","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1619481600000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"53","UK_SC_Site40_S18","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.619568e+12,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"54","UK_SC_Site40_S19","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1620259200000,"sewershed","","",6061,"presence",1316,"gc/L",-4.855787,55.752462
"55","UK_SC_Site40_S20","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1620345600000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"56","UK_SC_Site40_S21","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1620777600000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"57","UK_SC_Site40_S22","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1620950400000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"58","UK_SC_Site40_S23","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.621296e+12,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"59","UK_SC_Site40_S24","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1621382400000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"60","UK_SC_Site40_S25","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1621900800000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"61","UK_SC_Site40_S26","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1621987200000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"62","UK_SC_Site40_S27","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1622678400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"63","UK_SC_Site40_S28","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1622764800000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"64","UK_SC_Site40_S29","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1623196800000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"65","UK_SC_Site40_S30","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1623283200000,"sewershed","","",1344,"presence",1316,"gc/L",-4.855787,55.752462
"66","UK_SC_Site40_S31","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1623715200000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"67","UK_SC_Site40_S32","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1623801600000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"68","UK_SC_Site40_S33","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1624406400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"69","UK_SC_Site40_S34","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1624492800000,"sewershed","","",1881,"presence",1316,"gc/L",-4.855787,55.752462
"70","UK_SC_Site40_S35","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1624924800000,"sewershed","","",3104,"presence",1316,"gc/L",-4.855787,55.752462
"71","UK_SC_Site40_S36","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.625616e+12,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"72","UK_SC_Site40_S37","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1625702400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"73","UK_SC_Site40_S38","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1626134400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"74","UK_SC_Site40_S39","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1626825600000,"sewershed","","",10356,"presence",1316,"gc/L",-4.855787,55.752462
"75","UK_SC_Site40_S40","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1627430400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"76","UK_SC_Site40_S41","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1627516800000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"77","UK_SC_Site40_S42","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1627948800000,"sewershed","","",8714,"presence",1316,"gc/L",-4.855787,55.752462
"78","UK_SC_Site40_S43","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1628035200000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"79","UK_SC_Site40_S44","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1628553600000,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"80","UK_SC_Site40_S45","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.62864e+12,"sewershed","","",0,"absence",1316,"gc/L",-4.855787,55.752462
"81","UK_SC_Site40_S46","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1629244800000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"82","UK_SC_Site40_S47","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1629331200000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"83","UK_SC_Site40_S48","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1629849600000,"sewershed","","",7122,"presence",1316,"gc/L",-4.855787,55.752462
"84","UK_SC_Site40_S49","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.629936e+12,"sewershed","","",17144,"presence",1316,"gc/L",-4.855787,55.752462
"85","UK_SC_Site40_S50","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1630454400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"86","UK_SC_Site40_S51","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1630540800000,"sewershed","","",26857,"presence",1316,"gc/L",-4.855787,55.752462
"87","UK_SC_Site40_S52","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1631059200000,"sewershed","","",7741,"presence",1316,"gc/L",-4.855787,55.752462
"88","UK_SC_Site40_S53","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1631145600000,"sewershed","","",30987,"presence",1316,"gc/L",-4.855787,55.752462
"89","UK_SC_Site40_S54","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1631750400000,"sewershed","","",84398,"presence",1316,"gc/L",-4.855787,55.752462
"90","UK_SC_Site40_S55","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.63296e+12,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"91","UK_SC_Site40_S56","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1633478400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"92","UK_SC_Site40_S57","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1634774400000,"sewershed","","",6888,"presence",1316,"gc/L",-4.855787,55.752462
"93","UK_SC_Site40_S58","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1634860800000,"sewershed","","",7098,"presence",1316,"gc/L",-4.855787,55.752462
"94","UK_SC_Site40_S59","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1635465600000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"95","UK_SC_Site40_S60","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1635897600000,"sewershed","","",43964,"presence",1316,"gc/L",-4.855787,55.752462
"96","UK_SC_Site40_S61","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.635984e+12,"sewershed","","",9281,"presence",1316,"gc/L",-4.855787,55.752462
"97","UK_SC_Site40_S62","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1636588800000,"sewershed","","",14045,"presence",1316,"gc/L",-4.855787,55.752462
"98","UK_SC_Site40_S63","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1636675200000,"sewershed","","",15431,"presence",1316,"gc/L",-4.855787,55.752462
"99","UK_SC_Site40_S64","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1637193600000,"sewershed","","",658,"presence",1316,"gc/L",-4.855787,55.752462
"100","UK_SC_Site40_S65","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.637712e+12,"sewershed","","",129795,"presence",1316,"gc/L",-4.855787,55.752462
"101","UK_SC_Site40_S66","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1637798400000,"sewershed","","",243009,"presence",1316,"gc/L",-4.855787,55.752462
"102","UK_SC_Site40_S67","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1.63944e+12,"sewershed","","",27551,"presence",1316,"gc/L",-4.855787,55.752462
"103","UK_SC_Site40_S68","Fairlie, Ayrshire and Arran, Scotland, GB",NA,1535,1639526400000,"sewershed","","",40067,"presence",1316,"gc/L",-4.855787,55.752462
"104","UK_SC_Site48_S1","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1613692800000,"sewershed","","",2898,"presence",1316,"gc/L",-4.855296,55.242117
"105","UK_SC_Site48_S2","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1614038400000,"sewershed","","",1382,"presence",1316,"gc/L",-4.855296,55.242117
"106","UK_SC_Site48_S3","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1614556800000,"sewershed","","",0,"absence",1316,"gc/L",-4.855296,55.242117
"107","UK_SC_Site48_S4","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1615161600000,"sewershed","","",2198,"presence",1316,"gc/L",-4.855296,55.242117
"108","UK_SC_Site48_S5","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1615766400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855296,55.242117
"109","UK_SC_Site48_S6","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1616371200000,"sewershed","","",0,"absence",1316,"gc/L",-4.855296,55.242117
"110","UK_SC_Site48_S7","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1617062400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855296,55.242117
"111","UK_SC_Site48_S8","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1617667200000,"sewershed","","",4837,"presence",1316,"gc/L",-4.855296,55.242117
"112","UK_SC_Site48_S9","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1618185600000,"sewershed","","",3558,"presence",1316,"gc/L",-4.855296,55.242117
"113","UK_SC_Site48_S10","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.619568e+12,"sewershed","","",3038,"presence",1316,"gc/L",-4.855296,55.242117
"114","UK_SC_Site48_S11","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1620345600000,"sewershed","","",0,"absence",1316,"gc/L",-4.855296,55.242117
"115","UK_SC_Site48_S12","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1621382400000,"sewershed","","",0,"absence",1316,"gc/L",-4.855296,55.242117
"116","UK_SC_Site48_S13","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1621987200000,"sewershed","","",0,"absence",1316,"gc/L",-4.855296,55.242117
"117","UK_SC_Site48_S14","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.622592e+12,"sewershed","","",2260,"presence",1316,"gc/L",-4.855296,55.242117
"118","UK_SC_Site48_S15","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1623196800000,"sewershed","","",3816,"presence",1316,"gc/L",-4.855296,55.242117
"119","UK_SC_Site48_S16","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1623801600000,"sewershed","","",8416,"presence",1316,"gc/L",-4.855296,55.242117
"120","UK_SC_Site48_S17","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.62432e+12,"sewershed","","",2479,"presence",1316,"gc/L",-4.855296,55.242117
"121","UK_SC_Site48_S18","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1625011200000,"sewershed","","",45339,"presence",1316,"gc/L",-4.855296,55.242117
"122","UK_SC_Site48_S19","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1626739200000,"sewershed","","",130917,"presence",1316,"gc/L",-4.855296,55.242117
"123","UK_SC_Site48_S20","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.627344e+12,"sewershed","","",111651,"presence",1316,"gc/L",-4.855296,55.242117
"124","UK_SC_Site48_S21","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.629072e+12,"sewershed","","",0,"absence",1316,"gc/L",-4.855296,55.242117
"125","UK_SC_Site48_S22","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1631059200000,"sewershed","","",367663,"presence",1316,"gc/L",-4.855296,55.242117
"126","UK_SC_Site48_S23","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1631491200000,"sewershed","","",339667,"presence",1316,"gc/L",-4.855296,55.242117
"127","UK_SC_Site48_S24","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.632096e+12,"sewershed","","",58743,"presence",1316,"gc/L",-4.855296,55.242117
"128","UK_SC_Site48_S25","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1632700800000,"sewershed","","",160044,"presence",1316,"gc/L",-4.855296,55.242117
"129","UK_SC_Site48_S26","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1634774400000,"sewershed","","",658,"presence",1316,"gc/L",-4.855296,55.242117
"130","UK_SC_Site48_S27","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1635292800000,"sewershed","","",49715,"presence",1316,"gc/L",-4.855296,55.242117
"131","UK_SC_Site48_S28","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1635724800000,"sewershed","","",25242,"presence",1316,"gc/L",-4.855296,55.242117
"132","UK_SC_Site48_S29","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1636675200000,"sewershed","","",28046,"presence",1316,"gc/L",-4.855296,55.242117
"133","UK_SC_Site48_S30","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1636934400000,"sewershed","","",50265,"presence",1316,"gc/L",-4.855296,55.242117
"134","UK_SC_Site48_S31","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1637539200000,"sewershed","","",38973,"presence",1316,"gc/L",-4.855296,55.242117
"135","UK_SC_Site48_S32","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1638748800000,"sewershed","","",119519,"presence",1316,"gc/L",-4.855296,55.242117
"136","UK_SC_Site48_S33","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1639353600000,"sewershed","","",60902,"presence",1316,"gc/L",-4.855296,55.242117
"137","UK_SC_Site48_S34","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1639958400000,"sewershed","","",57931,"presence",1316,"gc/L",-4.855296,55.242117
"138","UK_SC_Site48_S35","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1.640736e+12,"sewershed","","",195350,"presence",1316,"gc/L",-4.855296,55.242117
"139","UK_SC_Site48_S36","Girvan, Ayrshire and Arran, Scotland, GB",NA,7721,1641254400000,"sewershed","","",62360,"presence",1316,"gc/L",-4.855296,55.242117
"140","UK_SC_Site66_S1","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1612915200000,"sewershed","","",13318,"presence",1316,"gc/L",-4.85995,55.78863
"141","UK_SC_Site66_S2","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1.613088e+12,"sewershed","","",24468,"presence",1316,"gc/L",-4.85995,55.78863
"142","UK_SC_Site66_S3","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1.61352e+12,"sewershed","","",20330,"presence",1316,"gc/L",-4.85995,55.78863
"143","UK_SC_Site66_S4","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1613606400000,"sewershed","","",30948,"presence",1316,"gc/L",-4.85995,55.78863
"144","UK_SC_Site66_S5","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1614038400000,"sewershed","","",5934,"presence",1316,"gc/L",-4.85995,55.78863
"145","UK_SC_Site66_S6","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1614124800000,"sewershed","","",6138,"presence",1316,"gc/L",-4.85995,55.78863
"146","UK_SC_Site66_S7","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1614643200000,"sewershed","","",33858,"presence",1316,"gc/L",-4.85995,55.78863
"147","UK_SC_Site66_S8","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1614729600000,"sewershed","","",35076,"presence",1316,"gc/L",-4.85995,55.78863
"148","UK_SC_Site66_S9","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1615161600000,"sewershed","","",29930,"presence",1316,"gc/L",-4.85995,55.78863
"149","UK_SC_Site66_S10","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1.615248e+12,"sewershed","","",17573,"presence",1316,"gc/L",-4.85995,55.78863
"150","UK_SC_Site66_S11","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1615939200000,"sewershed","","",658,"presence",1316,"gc/L",-4.85995,55.78863
"151","UK_SC_Site66_S12","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1617148800000,"sewershed","","",1809,"presence",1316,"gc/L",-4.85995,55.78863
"152","UK_SC_Site66_S13","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1617753600000,"sewershed","","",18124,"presence",1316,"gc/L",-4.85995,55.78863
"153","UK_SC_Site66_S14","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1.61784e+12,"sewershed","","",39397,"presence",1316,"gc/L",-4.85995,55.78863
"154","UK_SC_Site66_S15","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1618358400000,"sewershed","","",22214,"presence",1316,"gc/L",-4.85995,55.78863
"155","UK_SC_Site66_S16","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1619481600000,"sewershed","","",1832,"presence",1316,"gc/L",-4.85995,55.78863
"156","UK_SC_Site66_S17","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1.619568e+12,"sewershed","","",1831,"presence",1316,"gc/L",-4.85995,55.78863
"157","UK_SC_Site66_S18","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1620259200000,"sewershed","","",658,"presence",1316,"gc/L",-4.85995,55.78863
"158","UK_SC_Site66_S19","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1620345600000,"sewershed","","",1649,"presence",1316,"gc/L",-4.85995,55.78863
"159","UK_SC_Site66_S20","Largs, Ayrshire and Arran, Scotland, GB",NA,12865,1.620864e+12,"sewershed","","",658,"presence",1316,"gc/L",-4.85995,55.78863
