,X2020.05.28,X2020.05.29,X2020.06.01,X2020.06.02,X2020.06.03,X2020.06.04,X2020.06.06,X2020.06.08,X2020.06.09,X2020.06.10,X2020.06.15,X2020.06.16,X2020.06.17,X2020.06.19,X2020.06.22,X2020.06.23,X2020.06.24,X2020.06.26,X2020.06.28,X2020.06.30,X2020.07.01,X2020.07.03,X2020.07.06,X2020.07.07,X2020.07.08,X2020.07.10,X2020.07.13,X2020.07.14,X2020.07.15,X2020.07.17,X2020.07.20,X2020.07.27,X2020.07.28,X2020.08.03,X2020.08.05,X2020.08.07,X2020.08.08,X2020.08.09,X2020.08.10,X2020.08.11,X2020.08.12,X2020.08.13,X2020.08.14,X2020.08.17,X2020.08.18,X2020.08.19,X2020.08.20,X2020.08.21,X2020.08.22,X2020.08.24,X2020.08.25,X2020.08.26,X2020.08.28,X2020.08.31,X2020.09.01,X2020.09.02,X2020.09.03,X2020.09.04,X2020.09.06,X2020.09.07,X2020.09.08,X2020.09.09,X2020.09.10,X2020.09.11,X2020.09.14,X2020.09.15,X2020.09.16,X2020.09.17,X2020.09.18,X2020.09.20,X2020.09.21,X2020.09.22,X2020.09.23,X2020.09.24,X2020.09.25,X2020.09.28,X2020.09.29,X2020.09.30,X2020.10.01,X2020.10.02,X2020.10.05,X2020.10.06,X2020.10.07,X2020.10.09,X2020.10.12,X2020.10.13,X2020.10.14,X2020.10.15,X2020.10.16,X2020.10.19,X2020.10.20,X2020.10.21,X2020.10.22,X2020.10.23,X2020.10.26,X2020.10.27,X2020.10.28,X2020.10.29,X2020.10.30,X2020.10.31,X2020.11.02,X2020.11.03,X2020.11.04,X2020.11.06,X2020.11.09,X2020.11.10,X2020.11.11,X2020.11.12,X2020.11.13,X2020.11.16,X2020.11.17,X2020.11.18,X2020.11.19,X2020.11.20,X2020.11.23,X2020.11.24,X2020.11.25,X2020.11.26,X2020.11.27,X2020.11.30,X2020.12.01,X2020.12.02,X2020.12.03,X2020.12.04,X2020.12.06,X2020.12.07,X2020.12.08,X2020.12.09,X2020.12.10,X2020.12.11,X2020.12.14,X2020.12.15,X2020.12.16,X2020.12.17,X2020.12.18,X2020.12.21,X2020.12.29,X2020.12.30,X2020.12.31,X2021.01.04,X2021.01.05,X2021.01.06,X2021.01.07,X2021.01.08,X2021.01.11,X2021.01.12,X2021.01.13,X2021.01.14,X2021.01.15,X2021.01.17,X2021.01.18,X2021.01.19,X2021.01.20,X2021.01.21,X2021.01.22,X2021.01.23,X2021.01.25,X2021.01.26,X2021.01.27,X2021.01.29,X2021.02.01,X2021.02.02,X2021.02.03,X2021.02.04,X2021.02.05,X2021.02.06,X2021.02.08,X2021.02.09,X2021.02.10,X2021.02.11,X2021.02.12,X2021.02.15,X2021.02.16,X2021.02.17,X2021.02.18,X2021.02.19,X2021.02.20,X2021.02.21,X2021.02.22,X2021.02.23,X2021.02.24,X2021.02.25,X2021.02.26,X2021.02.27,X2021.02.28,X2021.03.01,X2021.03.02,X2021.03.03,X2021.03.04,X2021.03.05,X2021.03.06,X2021.03.07,X2021.03.08,X2021.03.09,X2021.03.10,X2021.03.11,X2021.03.12,X2021.03.15,X2021.03.16,X2021.03.17,X2021.03.18,X2021.03.19,X2021.03.20,X2021.03.22,X2021.03.23,X2021.03.24,X2021.03.25,X2021.03.26,X2021.03.29,X2021.03.30,X2021.03.31,X2021.04.01,X2021.04.02,X2021.04.05,X2021.04.06,X2021.04.07,X2021.04.08,X2021.04.09,X2021.04.10,X2021.04.12,X2021.04.13,X2021.04.14,X2021.04.15,X2021.04.16,X2021.04.19,X2021.04.20,X2021.04.21,X2021.04.22,X2021.04.23,X2021.04.26,X2021.04.27,X2021.04.28,X2021.04.29,X2021.04.30,X2021.05.03,X2021.05.04,X2021.05.05,X2021.05.06,X2021.05.07,X2021.05.10,X2021.05.11,X2021.05.12,X2021.05.13,X2021.05.14,X2021.05.17,X2021.05.18,X2021.05.19,X2021.05.20,X2021.05.21,X2021.05.23,X2021.05.24,X2021.05.25,X2021.05.26,X2021.05.27,X2021.05.28,X2021.05.31,X2021.06.01,X2021.06.02,X2021.06.03,X2021.06.04,X2021.06.07,X2021.06.08,X2021.06.09,X2021.06.10,X2021.06.11,X2021.06.14,X2021.06.15,X2021.06.16,X2021.06.17,X2021.06.18,X2021.06.19,X2021.06.21,X2021.06.22,X2021.06.23,X2021.06.24,X2021.06.25,X2021.06.28,X2021.06.29,X2021.06.30,X2021.07.01,X2021.07.02,X2021.07.05,X2021.07.06,X2021.07.07,X2021.07.08,X2021.07.09,X2021.07.10,X2021.07.12,X2021.07.13,X2021.07.16,X2021.07.19,X2021.07.20,X2021.07.21,X2021.07.22,X2021.07.23,X2021.07.26,X2021.07.27,X2021.07.28,X2021.07.29,X2021.07.30,X2021.08.02,X2021.08.03,X2021.08.04,X2021.08.05,X2021.08.06,X2021.08.09,X2021.08.10,X2021.08.11,X2021.08.12,X2021.08.13,X2021.08.16,X2021.08.17,X2021.08.18,X2021.08.19,X2021.08.20,X2021.08.23,X2021.08.24,X2021.08.25,X2021.08.26,X2021.08.27,X2021.08.30,X2021.08.31,X2021.09.01,X2021.09.02,X2021.09.03,X2021.09.06,X2021.09.07,X2021.09.08,X2021.09.09,X2021.09.10,X2021.09.13,X2021.09.14,X2021.09.15,X2021.09.16,X2021.09.17,X2021.09.20,X2021.09.21,X2021.09.22,X2021.09.23,X2021.09.24,X2021.09.27,X2021.09.28,X2021.09.29,X2021.09.30,X2021.10.01,X2021.10.04,X2021.10.05,X2021.10.06,X2021.10.07,X2021.10.08,X2021.10.11,X2021.10.12,X2021.10.13,X2021.10.14,X2021.10.15,X2021.10.18,X2021.10.19,X2021.10.20,X2021.10.21,X2021.10.22,X2021.10.25,X2021.10.26,X2021.10.27,X2021.10.28,X2021.10.29,X2021.11.01,X2021.11.02,X2021.11.03,X2021.11.04,X2021.11.05,X2021.11.07,X2021.11.08,X2021.11.09,X2021.11.10,X2021.11.11,X2021.11.12,X2021.11.15,X2021.11.16,X2021.11.17,X2021.11.18,X2021.11.19,X2021.11.21,X2021.11.22,X2021.11.23,X2021.11.24,X2021.11.25,X2021.11.29,X2021.11.30,X2021.12.01,X2021.12.04,X2021.12.06,X2021.12.07,X2021.12.08,X2021.12.09,X2021.12.10,X2021.12.13,X2021.12.14,X2021.12.15,X2021.12.16,X2021.12.17,X2021.12.19,X2021.12.20,X2021.12.28,X2021.12.29,X2022.01.03,X2022.01.04,X2022.01.05,X2022.01.06,X2022.01.07,X2022.01.10,X2022.01.11,X2022.01.12,X2022.01.13
Banchory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weak Positive,,Weak Positive,,,,,,,,Positive (DNQ),,Weak Positive,,,Positive (DNQ),,Weak Positive,Analysis Failed,,,,Negative,,Weak Positive,,Negative,,,,Negative,,Negative,,,Weak Positive,,Weak Positive,,,Weak Positive,,Positive (DNQ),,,,Positive (DNQ),,Positive (DNQ),,Positive (DNQ),,Weak Positive,,,,,Positive (DNQ),,Positive,Positive,,,,Positive,,Positive,,Positive,Positive,,,,,Positive,,,,Positive (DNQ),Positive,,,Positive (DNQ),,,,Positive (DNQ),,Positive,Positive,,,,,Positive,,,,,,Positive,,Positive,,,Positive,,,Positive,,Positive,,,,,,,,,,,,,Positive,Positive,,,,,,,,,,Positive,,Positive,,,,,,,,Analysis Failed,,Positive,,,,Positive,,Positive,,,Positive,,,,,,Positive,,Positive,,Positive,,,,Positive,,,Positive,,,,Positive,,,,Analysis Failed,,,,Positive,,,,,,,
Banff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weak Positive,,Analysis Failed,,,Negative,,,,Negative,Negative,,Positive (DNQ),,Negative,Weak Positive,,Weak Positive,,Positive (DNQ),Weak Positive,,Negative,,Negative,Weak Positive,,Negative,,Weak Positive,,,Negative,Weak Positive,,Negative,Weak Positive,,,,Positive (DNQ),Weak Positive,,Weak Positive,,Positive (DNQ),Weak Positive,,Weak Positive,,Weak Positive,,Negative,,Weak Positive,,Positive (DNQ),Positive,,,,Positive,Positive,,Positive,,Positive,,Analysis Failed,,Positive,Positive,,,,Positive,Positive,,,,Positive,,,,Positive,,,,,,,,,,,,,,,,Positive,Positive,,Positive,,Positive,Positive,,Positive,,Positive,,,,,Positive,Positive,,,,,,,,,,Positive,,,,Positive,Positive,,Analysis Failed,,Positive,,,Positive,,Positive,Positive,,Positive,,Positive,Analysis Failed,,Analysis Failed,,Analysis Failed,,Positive,,Positive,,Positive,Positive,,,,Positive,,Positive,,Positive,,Positive,,Positive,,Analysis Failed,,Positive,,Positive (DNQ),,,Positive,,Positive,,Positive,,,Positive,,,,,,,,
Bathgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,,,,,,,,,Positive,,,Positive,,,,,,,Negative,,,Positive,,,,Positive,,,,,,Positive,,Positive,,,Positive,,,,Positive,,,,Positive,,Positive,,,,,Positive,Positive,,,,,,,,Positive (DNQ),Positive (DNQ),,,Positive,Positive,,,,,Positive,Positive (DNQ),,,,,Positive,Positive,,Analysis Failed,Analysis Failed,,,,Positive (DNQ),Positive (DNQ),,,,,,,,,Positive (DNQ),Positive (DNQ),,,,,Positive (DNQ),Positive (DNQ),,,Analysis Failed,Positive,,,,,,,Positive (DNQ),Analysis Failed,,,,Analysis Failed,Positive (DNQ),,Negative,,Positive,,,Positive (DNQ),,Analysis Failed,,,Weak Positive,,Analysis Failed,,,,Positive,,Positive,,,Positive,,,Positive,,,Positive,,Positive,,,,Positive,,,Positive,,,Positive,,Positive,,Positive,,,,,,,,,,,,,,Positive,,,,,,,,,Positive,,,Positive,,,Positive,,,,Positive,,,,,,,,,,,,,Positive,,Positive,,,,,,,,,,Positive,Positive,,,,Analysis Failed,,Positive,,,Positive,,Positive,,,,Positive,,Positive,,,Positive,,Analysis Failed,,,,Analysis Failed,,Positive,,Analysis Failed,,,,Positive,,Analysis Failed,,,Positive,,Positive,,,Positive,,,,,Positive,,,,,,Positive
Biggar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,Negative,,,,Negative,,,,,,,Positive,Positive,,,,,,Weak Positive,,,,,,,Weak Positive,,,,,,,,,Weak Positive,,,Weak Positive,,,,,,,Positive,,,,,,,,,Weak Positive,,Weak Positive,,,,,,,Analysis Failed,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive (DNQ),,,,,,Positive,Positive,Positive,,,Positive,,,,,,Positive,,,,,,Positive (DNQ),,,,Positive,,,,,,Positive,,,,,Positive,,,,,,,Positive,,,,,,,Positive,,,,Positive,,,Positive,,,,Positive (DNQ),Positive,,,,Positive,,Positive (DNQ),,,,Positive,Positive,,,,Positive (DNQ),Positive,,,,Positive,,Positive (DNQ),,,,,,,,,Positive,Positive,,,,Positive,Positive,,,,Positive (DNQ),Positive (DNQ),,,,Positive (DNQ),Positive,,,,Positive (DNQ),,Positive (DNQ),,,,Positive,Positive,,,,Positive,Positive,,,,Positive,Positive,,,,Positive,,Positive,,,,Positive,Positive,,,,Positive,Positive,,,,Positive,,Positive,,Positive,Positive,,,,,Positive,,,,,,,,,,,,,,Positive,,,,,,,,,,,Positive,,,,Positive,Positive,,Positive,,Positive,,,,,,Positive,,,,Positive,,,,,Weak Positive,Positive,,,,,Positive,,,,Positive,Positive,,,,Positive,Analysis Failed,,,,Positive,Analysis Failed,,,,Positive,,Positive,,,,Positive,Positive,,,,Positive,,Positive,,,,Positive,,,,Positive,,,,Positive,Positive,,,,Analysis Failed,,Positive,,,Positive,,,,,,,,
Blackridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive (DNQ),Weak Positive,,,,,,,,Positive (DNQ),,,Positive (DNQ),,,,,,,Positive (DNQ),,,,,Positive,,Positive,,,,,,Positive,,Positive,,,Positive,,,,Positive,,,,Positive,,Positive,,,,,Positive,Positive (DNQ),,,,,,,,Weak Positive,Weak Positive,,,Positive (DNQ),Positive (DNQ),,,,,Positive (DNQ),Positive (DNQ),,,,,Positive,Positive,,Positive,Positive,,,,Positive,,,,,,,,,,Positive,Positive (DNQ),,,,,Positive,Positive (DNQ),,,Positive,Positive,,,,,,,Positive,Positive,,,,Positive,Positive (DNQ),,,Positive,Positive,,,Positive (DNQ),,Positive,,,Positive (DNQ),,Positive,,,,Positive,,Positive,,,Positive,,,Positive,,,Positive,,Positive,,,,Positive,,,Positive,,,,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,Positive,,,,,,Positive,,Analysis Failed,,,,,,,,,,,Analysis Failed,,,,,,,,,,,Analysis Failed,,Positive,,,,Positive,,Positive,,,Positive (DNQ),,Positive,,,,Weak Positive,,Analysis Failed,,,Positive,,Positive,,,,Positive,,Positive,,Positive,,,,Positive,,,,,Positive,,Positive,,,Analysis Failed,,,,,Positive,,,,Positive,,Positive
Blackwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,,,,,,,,,,,Positive,,,Positive,,,,,,,Positive (DNQ),,,Positive,,,,,,,,Positive,,,,,,,,Positive (DNQ),,,,,,,,Weak Positive,,,,,,Positive (DNQ),,,Positive (DNQ),,,,,,,,Positive (DNQ),,Negative,,,,,,,,,,,,,,,,Weak Positive,,,,,Analysis Failed,,,,Negative,,,,,,,,Analysis Failed,,,,,,,Positive,,Positive,,,,,,,,Positive,,Positive,,,,,,,Positive,,,,,Positive,,,,,Positive,,,,,Positive,,,,Positive,,,,Positive,,,,,,,,,,,,,,,,Positive,,,,,,,,Positive,,,,,Analysis Failed,,,,,,,Positive,,,,,,,,,,,,,,Positive,,,,,,,,,,,Positive,,,,,,,,,,,,Positive,,,,,,Positive,,,,,Positive,,,,,,,,,,,Positive,,,,,Positive,,,,,,,,,Positive,,,,,,,
Blairgowrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive (DNQ),,,,Positive (DNQ),,,,,,,,,,,,Positive (DNQ),,,,,,,,,Positive,,,,,Positive,,,,,Positive,,,,,,Positive,,,,,,,,,,,,,Weak Positive,,,,,,,Negative,,,,,Positive (DNQ),,,Positive (DNQ),,,,,,Analysis Failed,,,,,,Positive,,,,,Positive (DNQ),,,,,Positive,,,,,Positive,,,,,Positive,,,,,,,Positive,,,,,Positive,,Positive,,,,,Positive,,,,,,,,Positive,,Positive,,,,,,Positive,,,,Positive,,,,,,Positive,,,,,,,,,Positive,,,,,Positive,,,,,,,,,,Positive,,,,,,,,,,,Positive,,,,,,,,Positive,,Positive,,,,,,Positive,,,,,,,,,,,Positive,,,,,,,,Positive,,,,,Positive,,,,,Analysis Failed,,,,Positive,,,,,,,
Boness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,Positive,Positive,,,,,,Positive (DNQ),Positive (DNQ),,,,,,Positive (DNQ),Weak Positive,,,,Positive (DNQ),Positive,,,,,Positive (DNQ),Positive (DNQ),,,,Positive (DNQ),Positive (DNQ),,,,Positive (DNQ),,Positive,,,,Positive (DNQ),Positive (DNQ),,,,,,,,,Weak Positive,Negative,,,,,Weak Positive,,Weak Positive,,,,Weak Positive,Positive (DNQ),,,Weak Positive,,Positive (DNQ),,,,Positive (DNQ),Negative,,,,Negative,,Positive,,,Positive (DNQ),,Positive (DNQ),,Weak Positive,,Negative,,,,Positive,,,Positive,,,,Positive,,Positive,,,Positive,,Analysis Failed,,,,Positive,,,Positive,,Positive,,,,,Positive,,,Positive,,,,,,,,,,,,,,,,,,,Positive,,Positive,,,Positive,,Positive,,,,Positive,,,,,,,Positive,,,,,Positive,,Positive,,,,,,,,,,,Positive,,Positive,,,Positive,,,Positive,,Positive,,,,Positive,,Positive,,,,Positive,,,Positive,,Positive,,Positive,,,,,,,Positive,,,Positive,Positive,,Positive,,,,,,,,,Positive,,,,Positive,,
Bonnybridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,Positive,Positive,,,,,,Positive,Positive,,,,,,Positive,Positive,,,,Positive,Positive,,,,,Positive,Positive,,,,Positive,,Positive (DNQ),,,Positive,,,Weak Positive,,,Positive (DNQ),Weak Positive,,,,,,,,,Positive (DNQ),,,,Weak Positive,,Positive (DNQ),,Weak Positive,,Analysis Failed,,,Positive,,,Positive (DNQ),,Positive (DNQ),,,,Positive,,,Positive,,Positive,,Positive,,Positive,,Positive (DNQ),,,,,Positive (DNQ),,Positive (DNQ),,Positive,,Positive,,,,,Positive,,Positive,Positive,,Positive,,,,Positive,,,Positive,,,,,Positive,,,,,,,,Positive,,,,,,,,,,,,Positive,,,,Positive,,Positive,,,Positive,Positive,,Positive,,,,,Positive,,,,,,,,,,,Positive,,Positive,,Positive,,,,,,,,,Positive,,Positive,,,,Positive,,Positive,,Analysis Failed,,,Positive,,,Positive,,Positive,,,Positive,,Positive,,,,Positive,,Positive,,Positive,,,,Positive,,,,,Positive,,Positive,,,,,,,,,,,,,Positive,
Bothwellbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,,,Positive,,,,,,,Positive,,,Positive (DNQ),,,,,,Positive,,,,,,Positive,,,,,,Positive,,,,,,,,,,Positive,,,,Positive,,,,,Positive,,,,,,Positive (DNQ),,,,,Positive (DNQ),,,,,Positive (DNQ),,,,,,Positive (DNQ),,,,,,,,,,Positive (DNQ),,,,,,Positive (DNQ),,,,,,,,,,,Positive (DNQ),,,,,Positive (DNQ),,,,Positive,,,,,Positive (DNQ),,,,,Positive,,,,,,Positive,,,,,Positive,,,,,,,Positive,,,,,Positive,,Positive,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,Positive,,,,,,Positive,,,,Positive,,,,,,,,,,,Positive,,,,,,,,,,,,,Positive,,,Positive,,,,,Positive,,,,,,,Positive,,Positive,,,,,,,,,Positive,,,,,Positive,,,,,,,Positive,,,,Positive,,,,Positive,,,,,,,
Bowhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,Positive,,,,,,Positive,Positive (DNQ),,Weak Positive,Weak Positive,,,,,,Weak Positive,,Negative,,,,Weak Positive,Positive (DNQ),,,,,,,Positive (DNQ),Positive (DNQ),,,,,Positive (DNQ),Weak Positive,,,Weak Positive,Weak Positive,,,,,Weak Positive,,Weak Positive,,,,,Negative,Negative,,,,Analysis Failed,,,,,,,,,,Weak Positive,,Negative,,Negative,,Negative,,Analysis Failed,,,,,,,Weak Positive,,Negative,,,Weak Positive,,Weak Positive,,Positive (DNQ),,,Weak Positive,,Positive (DNQ),,,Positive (DNQ),,Positive,,,Positive (DNQ),,,,Positive,,Positive,,Positive,,Positive,,,Positive,,,,Positive,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,Positive,,,,Positive,,,,Positive,,,,,Positive,,Positive,,,Positive,,,,,Positive,,,,,,,,,,,Positive,,Positive,,,,Positive,,Positive,,,Positive,,Positive,,,,Positive,,Positive,,,Positive,,Analysis Failed,,,,Positive,,,,Positive,,,,Positive,,Positive,,,,,Positive,,,,,,Positive,,,,,,Positive,
Buckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Weak Positive,,Analysis Failed,,,Analysis Failed,,,Weak Positive,,,Positive,,,Positive (DNQ),,Positive,,Positive,,,Positive,,,Positive,Positive,,Positive,,,Positive,,Positive,,,Positive,,,,,,,,,,,,,,,,,,,,Positive,,Positive,,,Analysis Failed,,Analysis Failed,,,Positive,,Positive,,,Positive,,,,,,,,,,,,Positive,,,,,Positive,,,Analysis Failed,,,Analysis Failed,,Analysis Failed,,Positive,,,Positive,,Positive,,,Positive,,,Positive,,,Positive,,,,,Analysis Failed,,,Positive,,,,Analysis Failed,,,,Positive,,,Positive,,Positive,,,Analysis Failed,,,,,,Positive,,,,,,,
Carbarns,Negative,,,,,,,,,,Negative,Negative,,Negative,,,,,,,,,,,,,,,,,,,,,,Negative,,,Negative,Negative,Negative,,Negative,Negative,Negative,Negative,,Negative,,Negative,Positive (DNQ),Positive (DNQ),Positive (DNQ),,Positive,Positive,,Positive (DNQ),,,,Positive (DNQ),,Positive (DNQ),Positive (DNQ),Positive (DNQ),Weak Positive,,Positive,,Positive,Positive,Positive,,Positive,Positive,Positive,Positive,,Positive,Positive,Positive,Positive,,Positive,Positive,Positive,,Positive,Positive,,Positive,,Positive,Positive,Positive,Positive,Positive,,,Positive,,Positive,Positive,Positive,Positive,Positive,,Positive,Positive,Positive,Positive,,,Positive,Positive,Positive (DNQ),,,Positive,Positive,Positive,,,,Positive,Positive,Positive,,Positive,,Positive,,,,,Analysis Failed,,,,Positive,,,,Positive,,,,,,,,Positive,,,,Positive,,,,Positive,,,,,,,,Positive,,,Positive,,,,,,,,Positive,,,,,,Positive,,,,,,,Positive,Positive,,,,,,Positive,Positive,,,Positive,,Positive,,,Positive,,,Positive,,Positive,Positive,,,,,Positive,,,Positive,,,,,,,,,,Positive,,,,,Positive (DNQ),Positive (DNQ),,,Positive (DNQ),Positive (DNQ),,,,,Positive (DNQ),Positive (DNQ),,,,,Positive (DNQ),Positive (DNQ),Positive,,,Positive,,Positive,Positive,,,,,,Positive,Positive,,,,,Positive,,Positive,,,,Positive,,,,Positive,Positive,,,Positive,,,Positive,,,Positive,,Positive,,,Positive,,,Positive,Positive,,,Positive,Positive,,,,,Positive,,Positive,,Positive,,,,Positive,Positive,,Positive,,,Analysis Failed,Positive,,,,,Positive,,,Positive,Positive,,,Positive,,Positive,,Analysis Failed,,,,Positive,Positive,,,Positive,,Positive,,,Positive,,Positive,,,,Positive,Positive,,,Positive,Positive,Positive,,,,Positive,Positive,Positive,,,Positive,Positive,,,,,Positive,Positive,Positive,,,,Positive,,Positive,,Positive,,Positive,Positive,,Positive,,Positive,,Positive,,Positive,,Analysis Failed,Positive,Analysis Failed,,Positive,,Positive,
Coldstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive (DNQ),Positive,Positive (DNQ),Positive (DNQ),,,,,,,,,Positive,Positive,,,Positive,Positive,,,,,,Positive (DNQ),Positive (DNQ),,,,Weak Positive,Positive (DNQ),,,,,,,,Weak Positive,Weak Positive,,,Negative,Negative,,,Analysis Failed,,Negative,,,Negative,,,,,,,,,,Weak Positive,,,,Weak Positive,,Negative,,,,Negative,,,,Positive (DNQ),Negative,,,,Negative,,Weak Positive,,,,Weak Positive,,Negative,Positive (DNQ),,,Negative,,,,Negative,Weak Positive,Positive (DNQ),,,,,Negative,,Positive (DNQ),,,Positive,Positive,,,,Positive,Positive,,,,,Positive,Positive,,,Positive,Positive,,,Positive,,,,Positive,Positive,,,,Positive,Positive,,,,Analysis Failed,Analysis Failed,,Analysis Failed,,,Positive,,,,Positive,Positive,,,,Positive,,,,,Positive,,,,,Positive,,,,,,Positive,,,,Positive,Positive,,,,,,,,,,Positive,,,,Positive,,,Positive,,Positive,Weak Positive,,,,,,,Positive,,,,Positive,,,,,,Positive,,,,,,,,Positive (DNQ),,,,,Positive,,,,,,,,,,,,,,,,,
